Tester,Device & Model,OS Language,CCD Language,Keyboard Input Layout,Network,User License,Install Method,Install Location,User Directory Location,OS Theme,Resolution,Monitors,Input Device,branch-beta-stable
1,"(PR M2)Macbook Pro, Intel i7, 2.6 GHz 6-Core Intel Core i7, AMD Radeon Pro 5300M 4GB Intel UHD Graphics 630 1536 MB, Processor Details16 GB,  macOS Ventura 13.2.1, Computer MonitorSSD 500 GB",Português (Brasil),Japanese 日本語,English,WIFI,CCI,Update as Admin,Default,Default,High Contrast,4k(HDMI),SDR,Mouse,main beta

2,"(PR ARM9Macbook M1  Air, Apple M1, Apple M1, M1, Processor Details16 GB, macOS Monterey 12.7.3(21H1015) , Computer MonitorSSD 251 GB",fr-Fr,English,English,Offline,CCI,Update as Non-Admin,Default,Default,Light,4k(HDMI),SDR,Mouse,main stable

3,"(PR M5)Macbook Pro, Intel i9, 2.3 GHz 8-core Intel Core i9, AMD Radeon Pro 5500M 4GB Intel UHD Graphics 630 1536 MB, Processor Details 16 GB,macOS Ventura 13.2.1, Computer MonitorSSD 1 TB",ja-JP,ko-KR 한국어,English,WIFI,CCI,Update as Admin,Default,Default,Dark,4k(USB C),HDR,Mouse,main beta

4,"(PR ARM6)Macbook  Air, Apple M1, Apple M1, M1, Processor Details 8 GB, macOS Monterey 12.7.3(21H1015), Computer MonitorSSD 251 GB",tr-TR (fallback to en-US),Français,English,Offline,CCI,Clean Install as Admin,Default,Default,Dark,4k(USB C),SDR,Mouse,main stable

5,"(PR M1)Macbook Pro, Intel i7, 2.6 GHz Intel i7 6- Core, AMD Radeon Pro 5300M 4GB Intel UHD Graphics 630 1536 MB, Processor Details 16 GB, macOS Sonoma 14.5(23F79), Computer MonitorSSD 500 GB",ko-KR 한국어,Español,English,Offline,CCI,Update as Non-Admin,Default,Default,Dark,FHD,SDR,Mouse,ASAN

6,"(PR ARM5)MiniMac, Apple M1, Apple M1, Metal 3, Processor Details8 GB,macOS Sonoma 14.5(23F79), Computer MonitorSSD 251 GB",en-US,Português (Brasil),English,WIFI,CCI,Clean Install as Admin,Default,Default,High Contrast,FHD,HDR,Mouse,main stable

7,"(PR M3)Macbook Pro, Intel i7, 2.2 GHz Quad-Core Intel Core i7, Intel Iris Pro 1536 MB, Processor Details16 GB, macOS monterey V12.3.1 Computer MonitorSSD 251 GB",en-US,Español,English,Offline,CCI,Clean Install as Admin,Default,Default,High Contrast,4k(HDMI),SDR,Mouse,main beta

8,"(PR M7)Macbook Pro, Intel i7, 2.2 GHz Quad-Core Intel Core i7, Intel Iris Pro 1536 MB, Processor Details 16 GB,macOS Monterey 12.3.1, Computer MonitorSSD 251 GB",ja-JP,Italiano,English,WIFI,CCI,Clean Install as Admin,Default,Default,Light,FHD,SDR,Mouse,main stable

9,"(PR ARM2)Macbook M1  Air, Apple M1, Apple M1, M1, Processor Details16 GB, macOS Sonoma 14.3(23D56), Computer MonitorSSD 251 GB",en-US,Japanese 日本語,English,Offline,CCI,Update as Admin,Default,Default,High Contrast,FHD,SDR,Touch Screen/Trackpad,main beta

10,"(PR ARM7)Macbook M1  Pro, Apple M1, Apple M1, M1, Processor Details 8 GB, macOS Monterey 12.7.4(21H1123), Computer MonitorSSD 251 GB",Egypt (fallback to en-US),English,English,WIFI,CCI,Clean Install as Non-Admin,Default,Default,Light,4k(HDMI),HDR,Touch Screen/Trackpad,ASAN

11,"(PR ARM4)Macbook M1  Air, Apple M1, Apple M1, M1, Processor Details8 GB, macOS Sonoma Version 14.3.1 (23D60), Computer MonitorSSD 251 GB",de-DE,English,English,Offline,CCI,Update as Non-Admin,Default,Default,Dark,FHD,HDR,Mouse,main stable

